date,home_team,away_team,tournament,city,country,neutral,home_win
2000-01-04,Egypt,Togo,Friendly,Aswan,Egypt,False,True
2000-01-07,Tunisia,Togo,Friendly,Tunis,Tunisia,False,True
2000-01-08,Trinidad and Tobago,Canada,Friendly,Port of Spain,Trinidad and Tobago,False,False
2000-01-09,Burkina Faso,Gabon,Friendly,Ouagadougou,Burkina Faso,False,False
2000-01-09,Ivory Coast,Egypt,Friendly,Abidjan,Ivory Coast,False,True
2000-01-11,Bermuda,Canada,Friendly,Hamilton,Bermuda,False,False
2000-01-11,Burkina Faso,Cameroon,Friendly,Ouagadougou,Burkina Faso,False,False
2000-01-13,Senegal,Cameroon,Friendly,Dakar,Senegal,False,False
2000-01-14,China PR,New Zealand,Friendly,Guangzhou,China PR,False,True
2000-01-16,United States,Iran,Friendly,Pasadena,United States,False,False
2000-01-18,Ghana,Tunisia,Friendly,Accra,Ghana,False,True
2000-01-18,Morocco,Trinidad and Tobago,Friendly,El Jadida,Morocco,False,True
2000-01-19,Panama,Guatemala,Friendly,Panama City,Panama,False,True
2000-01-19,Togo,Egypt,Friendly,Lomé,Togo,False,True
2000-01-20,Burkina Faso,Algeria,Friendly,Ouagadougou,Burkina Faso,False,True
2000-01-20,Malta,Qatar,Friendly,Attard,Malta,False,True
2000-01-21,New Zealand,South Korea,Friendly,Auckland,New Zealand,False,False
2000-01-22,Ghana,Cameroon,African Cup of Nations,Accra,Ghana,False,False
2000-01-23,New Zealand,South Korea,Friendly,Palmerston North,New Zealand,False,False
2000-01-23,Nigeria,Tunisia,African Cup of Nations,Lagos,Nigeria,False,True
2000-01-23,Vietnam,Guam,AFC Asian Cup qualification,Hanoi,Vietnam,False,True
2000-01-24,Qatar,Bosnia and Herzegovina,Friendly,Doha,Qatar,False,True
2000-01-26,Costa Rica,Trinidad and Tobago,Friendly,San José,Costa Rica,False,True
2000-01-26,Guatemala,Panama,Friendly,Guatemala City,Guatemala,False,False
2000-01-26,Spain,Poland,Friendly,Cartagena,Spain,False,True
2000-01-26,Uganda,Libya,Friendly,Kampala,Uganda,False,True
2000-01-26,Vietnam,Philippines,AFC Asian Cup qualification,Hanoi,Vietnam,False,True
2000-01-27,Ghana,Togo,African Cup of Nations,Accra,Ghana,False,True
2000-01-28,Nigeria,Congo,African Cup of Nations,Lagos,Nigeria,False,False
2000-01-28,United States Virgin Islands,Saint Lucia,Friendly,Saint Croix,United States Virgin Islands,False,False
2000-01-29,Chile,United States,Friendly,Coquimbo,Chile,False,False
2000-01-29,Vietnam,China PR,AFC Asian Cup qualification,Hanoi,Vietnam,False,False
2000-01-30,United States Virgin Islands,Saint Lucia,Friendly,Saint Croix,United States Virgin Islands,False,False
2000-01-31,Ghana,Ivory Coast,African Cup of Nations,Accra,Ghana,False,False
2000-01-31,Kuwait,Syria,Friendly,Kuwait City,Kuwait,False,True
2000-02-01,British Virgin Islands,Saint Lucia,Friendly,Road Town,British Virgin Islands,False,False
2000-02-02,Costa Rica,Chile,Friendly,San José,Costa Rica,False,True
2000-02-02,Cyprus,Lithuania,Cyprus International Tournament,Limassol,Cyprus,False,True
2000-02-02,Saint Kitts and Nevis,Saint Lucia,Friendly,Basseterre,Saint Kitts and Nevis,False,False
2000-02-03,Nigeria,Morocco,African Cup of Nations,Lagos,Nigeria,False,True
2000-02-04,Cyprus,Armenia,Cyprus International Tournament,Nicosia,Cyprus,False,True
2000-02-04,Kuwait,Iran,Friendly,Kuwait City,Kuwait,False,False
2000-02-05,Guatemala,Chile,Friendly,Guatemala City,Guatemala,False,True
2000-02-06,Cayman Islands,Jamaica,Friendly,George Town,Cayman Islands,False,False
2000-02-06,Cyprus,Romania,Cyprus International Tournament,Nicosia,Cyprus,False,True
2000-02-06,Ghana,South Africa,African Cup of Nations,Kumasi,Ghana,False,False
2000-02-06,Malta,Azerbaijan,Malta International Tournament,Attard,Malta,False,True
2000-02-07,Nigeria,Senegal,African Cup of Nations,Lagos,Nigeria,False,True
2000-02-07,Singapore,Malaysia,Friendly,Singapore,Singapore,False,True
2000-02-08,Malta,Andorra,Malta International Tournament,Attard,Malta,False,False
2000-02-08,Syria,North Korea,Friendly,Damascus,Syria,False,True
2000-02-09,Cayman Islands,Jamaica,Friendly,George Town,Cayman Islands,False,False
2000-02-09,Chile,Australia,Friendly,Valparaíso,Chile,False,True
2000-02-09,Honduras,El Salvador,Friendly,San Pedro Sula,Honduras,False,True
2000-02-10,Hong Kong,Singapore,Friendly,Victoria,Hong Kong,False,False
2000-02-10,Kuwait,Turkmenistan,AFC Asian Cup qualification,Kuwait City,Kuwait,False,True
